Setting,State,Comment,Path
[Reserved for future use] Cache Server Hostname,Not configured,No,\Windows Components\Delivery Optimization
Absolute Max Cache Size (in GB),Not configured,No,\Windows Components\Delivery Optimization
Access 2013 backup only,Not configured,No,\Windows Components\Microsoft User Experience Virtualization\Applications
Access 2016 backup only,Not configured,No,\Windows Components\Microsoft User Experience Virtualization\Applications
Access data sources across domains,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Internet Zone
Access data sources across domains,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Intranet Zone
Access data sources across domains,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Local Machine Zone
Access data sources across domains,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Internet Zone
Access data sources across domains,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Intranet Zone
Access data sources across domains,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Local Machine Zone
Access data sources across domains,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Restricted Sites Zone
Access data sources across domains,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Trusted Sites Zone
Access data sources across domains,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Restricted Sites Zone
Access data sources across domains,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Trusted Sites Zone
Action on server disconnect,Not configured,No,\Network\Offline Files
Activate Internet printing,Not configured,No,\Printers
Activate Shutdown Event Tracker System State Data feature,Not configured,No,\System
Add a specific list of search providers to the user's list of search providers,Not configured,No,\Windows Components\Internet Explorer
Add default Accelerators,Not configured,No,\Windows Components\Internet Explorer\Accelerators
Add non-default Accelerators,Not configured,No,\Windows Components\Internet Explorer\Accelerators
Add primary intranet search location,Not configured,No,\Windows Components\Search
Add Printer wizard - Network scan page (Managed network),Not configured,No,\Printers
Add Printer wizard - Network scan page (Unmanaged network),Not configured,No,\Printers
Add secondary intranet search locations,Not configured,No,\Windows Components\Search
Add the Administrators security group to roaming user profiles,Not configured,No,\System\User Profiles
Add-on List,Not configured,No,\Windows Components\Internet Explorer\Security Features\Add-on Management
Admin-approved behaviors,Not configured,No,\Windows Components\Internet Explorer\Security Features\Binary Behavior Security Restriction
All Processes,Not configured,No,\Windows Components\Internet Explorer\Security Features\Add-on Management
All Processes,Not configured,No,\Windows Components\Internet Explorer\Security Features\Binary Behavior Security Restriction
All Processes,Not configured,No,\Windows Components\Internet Explorer\Security Features\Consistent Mime Handling
All Processes,Not configured,No,\Windows Components\Internet Explorer\Security Features\Local Machine Zone Lockdown Security
All Processes,Not configured,No,\Windows Components\Internet Explorer\Security Features\Mime Sniffing Safety Feature
All Processes,Not configured,No,\Windows Components\Internet Explorer\Security Features\MK Protocol Security Restriction
All Processes,Not configured,No,\Windows Components\Internet Explorer\Security Features\Network Protocol Lockdown
All Processes,Not configured,No,\Windows Components\Internet Explorer\Security Features\Notification bar
All Processes,Not configured,No,\Windows Components\Internet Explorer\Security Features\Object Caching Protection
All Processes,Not configured,No,\Windows Components\Internet Explorer\Security Features\Protection From Zone Elevation
All Processes,Not configured,No,\Windows Components\Internet Explorer\Security Features\Restrict ActiveX Install
All Processes,Not configured,No,\Windows Components\Internet Explorer\Security Features\Restrict File Download
All Processes,Not configured,No,\Windows Components\Internet Explorer\Security Features\Scripted Window Security Restrictions
All Removable Storage classes: Deny all access,Not configured,No,\System\Removable Storage Access
All Removable Storage: Allow direct access in remote sessions,Not configured,No,\System\Removable Storage Access
Allow .rdp files from unknown publishers,Not configured,No,\Windows Components\Remote Desktop Services\Remote Desktop Connection Client
Allow .rdp files from valid publishers and user's default .rdp settings,Not configured,No,\Windows Components\Remote Desktop Services\Remote Desktop Connection Client
Allow a Windows app to share application data between users,Enabled,No,\Windows Components\App Package Deployment
Allow access to BitLocker-protected fixed data drives from earlier versions of Windows,Not configured,No,\Windows Components\BitLocker Drive Encryption\Fixed Data Drives
Allow access to BitLocker-protected removable data drives from earlier versions of Windows,Not configured,No,\Windows Components\BitLocker Drive Encryption\Removable Data Drives
Allow active content from CDs to run on user machines,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Advanced Page
Allow active content over restricted protocols to access my computer,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Internet Zone
Allow active content over restricted protocols to access my computer,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Intranet Zone
Allow active content over restricted protocols to access my computer,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Local Machine Zone
Allow active content over restricted protocols to access my computer,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Restricted Sites Zone
Allow active content over restricted protocols to access my computer,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Trusted Sites Zone
Allow active scripting,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Internet Zone
Allow active scripting,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Intranet Zone
Allow active scripting,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Local Machine Zone
Allow active scripting,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Internet Zone
Allow active scripting,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Intranet Zone
Allow active scripting,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Local Machine Zone
Allow active scripting,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Restricted Sites Zone
Allow active scripting,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Trusted Sites Zone
Allow active scripting,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Restricted Sites Zone
Allow active scripting,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Trusted Sites Zone
Allow administrators to override Device Installation Restriction policies,Enabled,No,\System\Device Installation\Device Installation Restrictions
