Setting,State,Comment,Path
.Net Framework Configuration,Not configured,No,\Windows Components\Microsoft Management Console\Restricted/Permitted snap-ins
Ability to change properties of an all user remote access connection,Not configured,No,\Network\Network Connections
Ability to delete all user remote access connections,Not configured,No,\Network\Network Connections
Ability to Enable/Disable a LAN connection,Not configured,No,\Network\Network Connections
Ability to rename all user remote access connections,Not configured,No,\Network\Network Connections
Ability to rename LAN connections,Not configured,No,\Network\Network Connections
Ability to rename LAN connections or remote access connections available to all users,Not configured,No,\Network\Network Connections
Access 2013 backup only,Not configured,No,\Windows Components\Microsoft User Experience Virtualization\Applications
Access 2016 backup only,Not configured,No,\Windows Components\Microsoft User Experience Virtualization\Applications
Access data sources across domains,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Internet Zone
Access data sources across domains,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Intranet Zone
Access data sources across domains,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Local Machine Zone
Access data sources across domains,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Internet Zone
Access data sources across domains,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Intranet Zone
Access data sources across domains,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Local Machine Zone
Access data sources across domains,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Restricted Sites Zone
Access data sources across domains,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Trusted Sites Zone
Access data sources across domains,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Restricted Sites Zone
Access data sources across domains,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Trusted Sites Zone
Action on server disconnect,Not configured,No,\Network\Offline Files
Active Directory Domains and Trusts,Not configured,No,\Windows Components\Microsoft Management Console\Restricted/Permitted snap-ins
Active Directory Sites and Services,Not configured,No,\Windows Components\Microsoft Management Console\Restricted/Permitted snap-ins
Active Directory Users and Computers,Not configured,No,\Windows Components\Microsoft Management Console\Restricted/Permitted snap-ins
ActiveX Control,Not configured,No,\Windows Components\Microsoft Management Console\Restricted/Permitted snap-ins
"Add ""Run in Separate Memory Space"" check box to Run dialog box",Not configured,No,\Start Menu and Taskbar
Add a specific list of search providers to the user's list of search providers,Not configured,No,\Windows Components\Internet Explorer
Add default Accelerators,Not configured,No,\Windows Components\Internet Explorer\Accelerators
Add Logoff to the Start Menu,Not configured,No,\Start Menu and Taskbar
Add non-default Accelerators,Not configured,No,\Windows Components\Internet Explorer\Accelerators
Add Search Internet link to Start Menu,Disabled,No,\Start Menu and Taskbar
Add the Run command to the Start Menu,Not configured,No,\Start Menu and Taskbar
Add/Delete items,Not configured,No,\Desktop\Desktop
Add-on List,Not configured,No,\Windows Components\Internet Explorer\Security Features\Add-on Management
Admin-approved behaviors,Not configured,No,\Windows Components\Internet Explorer\Security Features\Binary Behavior Security Restriction
Administrative Templates (Computers),Not configured,No,\Windows Components\Microsoft Management Console\Restricted/Permitted snap-ins\Group Policy\Group Policy snap-in extensions
Administrative Templates (Computers),Not configured,No,\Windows Components\Microsoft Management Console\Restricted/Permitted snap-ins\Group Policy\Resultant Set of Policy snap-in extensions
Administrative Templates (Users),Not configured,No,\Windows Components\Microsoft Management Console\Restricted/Permitted snap-ins\Group Policy\Group Policy snap-in extensions
Administrative Templates (Users),Not configured,No,\Windows Components\Microsoft Management Console\Restricted/Permitted snap-ins\Group Policy\Resultant Set of Policy snap-in extensions
ADSI Edit,Not configured,No,\Windows Components\Microsoft Management Console\Restricted/Permitted snap-ins
All Processes,Not configured,No,\Windows Components\Internet Explorer\Security Features\Add-on Management
All Processes,Not configured,No,\Windows Components\Internet Explorer\Security Features\Binary Behavior Security Restriction
All Processes,Not configured,No,\Windows Components\Internet Explorer\Security Features\Consistent Mime Handling
All Processes,Not configured,No,\Windows Components\Internet Explorer\Security Features\Local Machine Zone Lockdown Security
All Processes,Not configured,No,\Windows Components\Internet Explorer\Security Features\Mime Sniffing Safety Feature
All Processes,Not configured,No,\Windows Components\Internet Explorer\Security Features\MK Protocol Security Restriction
All Processes,Not configured,No,\Windows Components\Internet Explorer\Security Features\Network Protocol Lockdown
All Processes,Not configured,No,\Windows Components\Internet Explorer\Security Features\Notification bar
All Processes,Not configured,No,\Windows Components\Internet Explorer\Security Features\Object Caching Protection
All Processes,Not configured,No,\Windows Components\Internet Explorer\Security Features\Protection From Zone Elevation
All Processes,Not configured,No,\Windows Components\Internet Explorer\Security Features\Restrict ActiveX Install
All Processes,Not configured,No,\Windows Components\Internet Explorer\Security Features\Restrict File Download
All Processes,Not configured,No,\Windows Components\Internet Explorer\Security Features\Scripted Window Security Restrictions
All Removable Storage classes: Deny all access,Not configured,No,\System\Removable Storage Access
Allow .rdp files from unknown publishers,Not configured,No,\Windows Components\Remote Desktop Services\Remote Desktop Connection Client
Allow .rdp files from valid publishers and user's default .rdp settings,Not configured,No,\Windows Components\Remote Desktop Services\Remote Desktop Connection Client
Allow active content from CDs to run on user machines,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Advanced Page
Allow active content over restricted protocols to access my computer,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Internet Zone
Allow active content over restricted protocols to access my computer,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Intranet Zone
Allow active content over restricted protocols to access my computer,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Local Machine Zone
Allow active content over restricted protocols to access my computer,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Restricted Sites Zone
Allow active content over restricted protocols to access my computer,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Trusted Sites Zone
Allow active scripting,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Internet Zone
Allow active scripting,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Intranet Zone
Allow active scripting,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Local Machine Zone
Allow active scripting,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Internet Zone
Allow active scripting,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Intranet Zone
Allow active scripting,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Local Machine Zone
Allow active scripting,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Restricted Sites Zone
Allow active scripting,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Trusted Sites Zone
Allow active scripting,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Restricted Sites Zone
Allow active scripting,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Trusted Sites Zone
Allow binary and script behaviors,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Internet Zone
Allow binary and script behaviors,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Intranet Zone
Allow binary and script behaviors,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Local Machine Zone
Allow binary and script behaviors,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Internet Zone
Allow binary and script behaviors,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Intranet Zone
Allow binary and script behaviors,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Local Machine Zone
Allow binary and script behaviors,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Restricted Sites Zone
Allow binary and script behaviors,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Trusted Sites Zone
Allow binary and script behaviors,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Restricted Sites Zone
Allow binary and script behaviors,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Trusted Sites Zone
Allow cut copy or paste operations from the clipboard via script,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Internet Zone
Allow cut copy or paste operations from the clipboard via script,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Intranet Zone
Allow cut copy or paste operations from the clipboard via script,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Local Machine Zone
Allow cut copy or paste operations from the clipboard via script,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Internet Zone
Allow cut copy or paste operations from the clipboard via script,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Intranet Zone
Allow cut copy or paste operations from the clipboard via script,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Local Machine Zone
Allow cut copy or paste operations from the clipboard via script,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Restricted Sites Zone
Allow cut copy or paste operations from the clipboard via script,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Trusted Sites Zone
Allow cut copy or paste operations from the clipboard via script,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Restricted Sites Zone
Allow cut copy or paste operations from the clipboard via script,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Trusted Sites Zone
Allow deleting browsing history on exit,Not configured,No,\Windows Components\Internet Explorer\Delete Browsing History
Allow DFS roots to be published,Not configured,No,\Shared Folders
Allow drag and drop or copy and paste files,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Internet Zone
Allow drag and drop or copy and paste files,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Intranet Zone
Allow drag and drop or copy and paste files,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Local Machine Zone
Allow drag and drop or copy and paste files,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Internet Zone
Allow drag and drop or copy and paste files,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Intranet Zone
Allow drag and drop or copy and paste files,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Local Machine Zone
Allow drag and drop or copy and paste files,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Restricted Sites Zone
Allow drag and drop or copy and paste files,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Trusted Sites Zone
Allow drag and drop or copy and paste files,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Restricted Sites Zone
Allow drag and drop or copy and paste files,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Trusted Sites Zone
Allow edge swipe,Disabled,No,\Windows Components\Edge UI
Allow file downloads,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Internet Zone
Allow file downloads,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Intranet Zone
Allow file downloads,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Local Machine Zone
Allow file downloads,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Internet Zone
Allow file downloads,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Intranet Zone
Allow file downloads,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Local Machine Zone
Allow file downloads,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Restricted Sites Zone
Allow file downloads,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Trusted Sites Zone
Allow file downloads,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Restricted Sites Zone
Allow file downloads,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Trusted Sites Zone
Allow font downloads,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Internet Zone
Allow font downloads,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Intranet Zone
Allow font downloads,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Local Machine Zone
Allow font downloads,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Internet Zone
Allow font downloads,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Intranet Zone
Allow font downloads,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Local Machine Zone
Allow font downloads,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Restricted Sites Zone
Allow font downloads,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Trusted Sites Zone
Allow font downloads,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Restricted Sites Zone
Allow font downloads,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Trusted Sites Zone
Allow Install On Demand (except Internet Explorer),Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Advanced Page
Allow Install On Demand (Internet Explorer),Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Advanced Page
Allow installation of desktop items,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Internet Zone
Allow installation of desktop items,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Intranet Zone
Allow installation of desktop items,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Local Machine Zone
Allow installation of desktop items,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Internet Zone
Allow installation of desktop items,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Intranet Zone
Allow installation of desktop items,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Local Machine Zone
Allow installation of desktop items,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Restricted Sites Zone
Allow installation of desktop items,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Trusted Sites Zone
